eatrest,totspent,likely,avprice,lisradio,radprogr,vietvnew,timenew,reapaper,secpaper,citymag,onlinereviews,water,drive,waitstaf,dessert,variety,unusal,simple,elegant,string,jazz,Age,educa,marital,famsize,zipcode,income,gender,hcpatron,VLPatron
1,169,1,,1,1,2,,1,4,2,2,3,3,1,1,2,1,5,1,1,5,26,2,2,4,4,63,2,2,0
1,430,4,34,1,4,1,3,1,2,1,4,2,5,5,5,4,5,1,5,5,2,54,8,3,2,2,225,2,1,0
1,260,2,21,1,3,1,4,1,5,2,4,4,1,1,2,1,1,5,1,2,4,33,8,2,4,3,125,1,2,0
1,158,2,,2,,2,,1,4,2,0,3,2,1,1,1,1,5,1,2,1,71,2,2,2,1,63,2,2,0
1,445,5,43,1,2,1,4,1,1,1,2,2,4,5,5,4,5,1,4,5,1,50,8,3,1,2,275,1,1,1
1,235,3,27,1,3,1,4,1,5,2,2,5,2,2,1,1,1,4,1,1,4,36,10,2,2,3,125,2,2,0
1,260,3,21,1,3,1,4,1,5,2,3,4,1,1,2,1,1,5,1,2,4,33,8,2,2,3,125,1,2,0
1,165,1,,1,1,2,,2,4,2,2,3,3,1,1,2,1,5,1,1,2,28,4,2,4,4,63,1,2,0
1,164,1,,1,1,1,1,1,3,2,0,4,1,1,1,3,1,5,1,1,5,26,6,2,2,4,63,2,2,0
1,305,3,25,1,4,1,4,1,3,2,4,5,2,1,3,2,2,3,1,1,4,42,10,1,7,3,88,1,2,0
1,265,2,20,1,3,1,4,1,3,2,4,5,3,2,1,1,2,4,2,1,4,42,8,2,2,3,88,2,2,0
1,270,3,23,1,3,1,4,1,3,1,1,4,2,2,1,2,1,4,2,1,5,39,8,1,3,3,88,2,2,0
1,295,3,23,1,4,1,4,2,,2,2,4,1,1,2,1,2,4,2,1,5,44,8,2,4,3,125,1,2,0
1,167,1,,1,1,2,,1,4,2,0,4,1,2,2,3,1,5,1,1,3,28,2,1,1,4,63,2,2,0
1,395,5,40,1,4,1,4,1,1,1,3,1,5,4,5,4,4,1,4,4,3,52,8,1,1,2,225,1,1,1
1,285,3,23,1,4,1,4,1,3,2,1,5,2,2,1,1,1,3,2,1,4,45,8,2,4,3,125,2,2,0
1,255,3,22,1,3,1,4,1,3,2,2,4,2,1,3,3,1,3,2,2,5,34,8,2,3,3,88,1,2,0
1,164,3,,1,1,2,,1,4,2,2,3,2,2,1,3,1,5,1,1,3,30,0,3,1,4,63,2,2,0
1,300,3,24,1,4,1,4,1,3,1,0,4,2,2,1,1,1,4,2,1,5,40,8,2,4,3,88,1,2,0
1,162,1,,1,1,1,1,1,4,2,0,3,2,1,1,1,1,5,1,1,3,66,2,1,1,1,25,2,2,0
1,435,5,38,1,2,1,3,1,2,1,4,2,4,4,4,5,5,2,4,5,3,55,10,2,4,2,225,1,1,1
1,290,3,24,1,3,1,4,1,3,1,0,4,2,1,1,1,1,4,2,2,4,43,8,3,1,3,125,1,2,0
1,310,3,25,1,3,1,3,1,5,2,0,5,2,2,2,2,2,4,1,2,4,41,8,2,3,3,125,2,2,0
1,450,4,37,1,2,1,3,1,2,1,2,2,4,5,4,5,5,2,5,4,4,54,10,1,1,2,275,1,1,0
1,285,3,25,1,3,1,4,1,5,2,1,4,1,1,1,1,3,4,1,1,5,47,8,3,2,3,125,1,2,0
1,295,3,22,1,3,1,4,1,3,1,4,5,1,1,2,2,2,4,1,1,5,39,8,2,4,3,125,1,2,0
1,375,5,45,1,4,1,3,1,1,1,4,2,5,4,5,4,4,1,5,4,3,58,10,3,3,2,275,1,1,1
1,300,2,22,1,3,1,4,1,5,2,4,4,2,2,1,1,1,4,2,2,5,43,8,1,1,3,125,2,2,0
1,158,1,,1,1,2,,1,4,2,4,3,2,1,1,1,1,5,1,1,1,65,4,1,1,1,63,2,2,0
1,385,4,33,1,3,1,3,1,1,1,3,2,5,5,5,4,4,1,5,4,3,48,8,2,4,2,275,2,1,0
1,156,1,,2,,2,,1,4,2,0,3,2,1,1,1,1,5,1,1,3,66,4,2,4,1,63,2,2,0
1,275,2,20,2,,1,3,1,5,1,2,5,2,2,1,2,2,4,1,3,5,45,10,2,2,3,125,1,2,0
1,500,5,55,2,,1,3,1,2,1,4,2,4,5,4,5,5,1,5,4,1,49,13,2,2,2,275,2,1,1
1,290,3,26,1,3,1,4,1,3,2,2,4,3,2,2,1,1,4,2,2,4,42,8,2,2,2,125,2,2,0
1,275,2,25,1,3,1,4,1,3,2,3,4,2,2,3,3,1,4,1,2,5,42,8,3,2,3,88,2,2,0
1,375,4,34,1,1,1,4,2,,1,4,2,5,4,4,5,4,1,4,4,3,50,10,2,2,2,275,1,1,0
1,161,1,,1,1,2,,1,4,2,0,4,2,1,2,2,1,5,1,1,4,37,5,2,3,4,63,2,2,0
1,315,3,26,1,3,1,4,1,3,1,1,4,2,2,1,1,1,5,2,2,4,39,8,1,1,3,88,1,2,0
1,280,3,20,1,3,1,4,1,5,2,1,5,1,1,2,1,2,4,1,2,4,34,8,2,6,3,125,1,2,0
1,365,3,31,1,1,1,3,1,1,1,4,2,4,5,4,5,5,1,5,4,2,49,8,3,3,2,275,1,2,0
1,260,3,23,1,4,1,4,1,3,2,2,5,2,2,2,1,2,4,2,2,5,41,8,3,3,3,125,1,2,0
1,320,3,28,1,4,1,1,1,1,2,2,4,2,1,2,3,3,4,1,2,5,46,8,2,4,3,125,1,2,0
1,370,4,31,1,3,1,3,2,,1,2,2,4,5,5,5,5,1,5,4,2,49,10,2,3,2,275,2,1,0
1,295,3,25,1,3,1,4,1,3,1,0,5,1,2,1,2,2,5,1,1,5,38,8,2,2,3,125,1,2,0
1,170,3,,1,1,2,,1,4,2,1,4,1,1,1,3,1,5,1,1,3,31,4,2,2,4,25,1,2,0
1,225,2,17,1,3,1,1,1,4,2,1,4,3,1,2,1,1,5,2,3,5,32,8,2,2,3,88,2,2,0
1,420,5,35,1,4,1,3,1,2,1,4,2,4,4,4,5,4,1,4,5,2,52,8,2,5,2,275,2,1,1
1,300,3,24,1,4,1,4,1,3,1,1,4,2,2,1,1,1,4,2,1,5,40,8,2,5,3,88,1,2,0
1,230,2,18,1,4,1,4,1,1,1,3,4,1,2,2,1,3,4,2,2,5,33,8,2,2,3,125,1,2,0
1,260,2,21,1,3,1,4,1,5,2,2,4,1,1,2,1,1,5,1,2,4,33,8,2,3,3,125,1,2,0
1,400,4,40,2,,1,3,1,2,1,4,2,5,5,4,5,5,2,5,4,4,53,10,1,2,2,225,1,1,0
1,270,2,19,1,3,1,4,1,3,1,2,5,2,2,1,1,2,5,1,3,5,43,8,2,5,3,125,1,2,0
1,165,1,,1,1,2,,2,,2,4,3,3,1,1,2,1,5,1,1,2,28,4,1,1,4,63,1,2,0
1,395,3,30,1,1,1,4,1,1,1,4,2,5,4,4,5,5,1,5,5,3,53,8,2,2,2,275,2,2,0
1,415,4,40,1,4,1,3,1,2,1,4,2,4,4,5,4,5,1,5,5,1,53,10,2,5,2,225,2,1,0
1,235,2,19,1,3,1,3,1,5,1,1,5,1,1,2,1,1,4,1,2,4,38,8,2,2,3,88,2,2,0
1,163,1,,1,1,2,,1,4,2,0,4,3,1,1,3,1,5,1,1,5,36,6,1,1,4,25,1,2,0
1,163,1,,1,1,2,,1,4,2,0,3,2,1,1,1,1,5,1,2,3,73,0,2,3,1,63,1,2,0
1,490,4,35,1,4,1,3,1,2,1,0,2,4,4,5,4,5,2,4,4,2,51,8,1,1,2,275,2,1,0
1,240,2,18,1,3,1,4,1,3,1,3,4,3,1,1,2,3,4,1,3,4,37,8,2,2,3,88,1,2,0
1,164,1,,1,1,2,,1,1,2,2,3,2,1,1,1,1,5,1,2,3,63,6,2,5,1,63,1,2,0
1,163,1,,1,1,2,,1,2,2,0,4,2,2,2,2,1,5,1,1,5,33,5,3,1,4,63,1,2,0
1,290,3,24,1,3,1,4,2,,1,0,5,2,1,1,1,2,4,2,1,5,42,10,2,3,3,88,2,2,0
1,285,3,25,1,3,1,4,1,5,2,2,4,1,1,1,1,3,4,1,1,5,47,8,2,2,3,125,1,2,0
1,285,3,25,1,3,1,4,1,3,2,1,4,1,2,3,1,1,5,2,1,4,37,8,2,2,2,88,2,2,0
1,275,2,20,1,3,1,3,1,5,1,4,5,2,2,1,2,2,4,1,3,5,45,10,1,2,3,125,1,2,0
1,245,2,19,1,3,1,1,1,5,2,3,5,2,2,2,1,2,4,2,2,4,35,8,1,1,3,125,2,2,0
1,350,2,25,1,2,1,3,1,1,1,2,2,5,4,4,5,4,2,5,5,1,57,8,2,3,2,275,2,2,0
1,295,3,26,1,4,1,1,2,,1,1,4,1,1,2,1,1,5,2,1,5,35,8,1,1,3,125,2,2,0
1,235,2,23,1,3,1,1,1,3,2,2,4,1,1,2,1,1,4,1,1,5,34,8,2,2,3,125,1,2,0
1,245,3,18,1,3,1,4,1,3,2,1,4,1,2,2,1,3,5,3,1,4,38,8,2,6,3,125,1,2,0
1,260,2,21,1,3,1,4,1,5,2,2,3,3,2,1,3,2,5,1,2,4,33,8,2,5,3,88,2,2,0
1,310,4,28,1,4,1,4,1,3,1,3,5,3,3,1,3,2,4,1,1,4,35,8,2,2,3,175,1,1,0
1,360,3,32,1,1,1,3,1,2,1,1,2,4,5,4,5,4,2,5,5,2,51,8,2,2,2,275,2,2,0
1,260,3,21,1,4,1,3,1,3,2,2,4,2,2,1,1,1,5,2,2,4,36,10,2,4,3,125,2,2,0
1,225,2,17,1,3,1,4,1,3,2,3,4,3,1,2,1,1,5,2,3,5,32,8,2,4,3,88,2,2,0
1,295,3,26,1,2,1,4,1,5,1,4,3,3,3,3,3,2,3,3,3,4,43,10,1,1,3,88,1,2,0
1,425,5,40,1,2,1,3,1,2,1,2,2,4,5,4,4,5,2,4,4,3,51,8,2,4,2,225,2,1,1
1,300,3,26,1,2,1,4,1,3,2,0,5,2,2,2,2,1,5,1,2,4,43,8,1,1,3,88,2,2,0
1,440,5,39,1,4,1,3,1,2,1,4,2,5,5,4,4,4,1,4,4,2,52,8,1,2,3,275,2,1,1
1,245,2,19,1,3,1,4,1,5,2,4,5,2,2,2,1,2,4,2,2,4,35,8,2,3,3,125,2,2,0
1,310,4,27,1,4,1,3,1,5,2,4,4,3,1,2,1,2,5,1,2,5,40,8,2,4,3,125,1,1,0
1,305,3,26,1,2,1,1,2,,2,1,5,2,2,2,2,2,5,1,1,2,35,8,2,3,3,88,1,2,0
1,270,3,23,1,3,1,4,1,3,1,1,4,2,2,1,2,1,4,2,1,5,39,8,2,3,3,88,2,2,0
1,240,2,17,1,4,1,4,2,,1,0,5,1,1,2,2,1,5,1,2,5,35,8,2,2,3,125,2,2,0
1,250,3,21,1,3,1,4,1,3,2,0,4,2,1,2,2,1,4,2,3,3,34,8,1,1,3,125,1,2,0
1,520,5,53,1,2,1,4,2,,2,3,2,4,5,4,4,4,1,4,4,1,48,10,3,1,3,275,2,1,1
1,164,1,,1,1,1,1,1,4,2,2,3,3,1,1,3,1,5,1,1,5,32,2,2,4,4,63,2,2,0
1,295,3,25,1,3,1,4,1,5,2,2,4,2,2,2,2,3,5,3,3,4,34,8,2,5,3,88,2,2,0
1,245,2,19,1,3,1,4,1,3,1,3,4,1,2,3,2,2,5,2,1,5,42,8,2,2,3,125,1,2,0
1,310,3,26,1,3,1,4,1,5,2,2,4,2,1,2,2,1,4,1,2,5,43,8,2,3,3,88,1,2,0
1,255,3,21,1,3,1,4,1,3,2,4,5,2,1,1,1,2,4,2,2,3,35,10,1,1,3,88,2,2,0
1,310,3,24,1,3,1,4,1,3,1,4,5,1,1,1,1,1,4,2,3,5,38,8,1,1,3,125,2,2,0
1,235,3,27,1,3,1,4,1,5,2,4,5,2,2,1,1,1,4,1,1,4,36,10,1,1,3,125,2,2,0
1,405,5,35,1,4,1,4,1,1,1,3,2,4,4,4,4,5,1,4,4,2,50,10,2,3,2,275,1,1,1
1,315,3,26,1,3,1,4,1,3,1,0,4,2,2,1,1,1,5,2,2,4,39,8,1,3,3,88,1,2,0
1,315,3,27,1,3,1,4,1,5,2,2,4,2,2,1,2,2,4,1,3,5,40,8,1,1,3,88,2,2,0
1,385,5,38,1,2,1,3,1,1,1,4,1,5,4,5,5,5,1,4,5,1,57,8,1,1,2,175,1,1,1
1,300,3,28,1,3,1,4,1,3,2,0,5,3,1,1,1,1,4,2,2,5,41,8,2,5,3,125,1,2,0
1,370,4,28,1,2,1,3,1,1,1,3,1,5,4,5,4,4,1,4,5,3,56,8,1,1,2,225,1,1,0
1,169,1,,1,1,1,1,1,4,2,0,4,1,2,2,3,1,5,1,1,5,36,6,3,3,4,63,2,2,0
1,600,5,60,1,4,1,3,1,2,1,4,1,4,5,5,4,5,1,4,4,2,55,13,3,2,2,275,1,1,1
1,380,5,48,1,2,1,3,1,4,1,3,2,5,5,4,5,5,2,5,4,4,53,8,2,3,3,225,2,1,1
1,270,3,24,1,3,1,4,1,3,2,4,4,2,1,2,1,1,4,1,1,4,37,10,1,1,3,125,1,2,0
1,280,2,20,1,3,1,4,1,5,2,2,5,1,1,2,1,2,4,1,2,4,34,8,2,2,3,125,1,2,0
1,270,3,23,1,3,1,4,1,3,1,3,4,2,2,1,2,1,4,2,1,5,39,8,2,4,3,88,2,2,0
1,166,1,,1,1,1,1,1,4,2,0,3,1,1,1,2,1,5,1,1,2,31,5,1,1,4,63,1,2,0
1,240,2,18,1,3,1,4,1,3,1,4,4,3,1,1,2,3,4,1,3,4,37,8,1,1,3,88,1,2,0
1,375,5,42,1,4,1,3,1,5,1,3,2,5,5,4,5,5,2,5,4,4,54,8,3,1,3,275,2,1,1
1,255,3,22,1,4,1,4,1,3,1,4,4,2,2,2,2,2,5,1,2,5,32,10,2,3,3,88,2,2,0
1,163,1,,1,1,1,3,1,4,2,0,4,3,1,1,3,1,5,1,1,5,36,6,2,2,4,25,1,2,0
1,169,1,,1,1,2,,1,4,2,0,3,3,1,1,2,1,5,1,1,5,26,2,1,4,4,63,2,2,0
1,225,3,20,1,4,1,4,1,3,1,0,4,2,1,1,2,2,4,2,1,5,33,10,3,1,3,125,2,2,0
1,160,1,,1,1,2,,1,4,2,3,3,2,1,1,2,1,5,1,1,5,27,5,1,1,4,63,2,2,0
1,295,3,26,1,3,1,4,1,3,2,4,3,1,3,2,2,2,5,2,1,4,41,8,2,5,3,125,1,2,0
1,350,4,33,1,3,1,3,1,2,1,4,1,4,4,4,4,5,1,4,5,2,49,8,2,2,2,275,1,1,0
1,425,5,39,1,4,1,3,1,2,1,3,2,3,5,4,5,5,2,5,4,4,51,8,2,2,2,225,2,1,1
1,260,3,21,1,3,1,4,1,5,2,1,4,1,1,2,1,1,5,1,2,4,33,8,2,6,3,125,1,2,0
1,365,5,36,1,4,1,3,1,5,1,3,1,4,4,4,4,4,1,4,4,3,58,10,1,1,2,275,1,1,1
1,160,2,,1,1,2,,1,4,2,0,3,2,1,1,2,1,5,1,1,5,27,5,2,2,4,63,2,2,0
1,375,4,32,1,2,1,4,1,2,1,3,1,4,4,5,4,5,1,4,5,3,56,8,1,1,2,275,1,1,0
1,410,2,36,1,2,1,3,1,2,1,4,2,4,4,5,5,5,1,5,5,3,56,10,2,2,2,275,2,2,0
1,415,5,36,1,2,1,3,1,2,1,4,2,5,4,5,5,5,1,4,4,1,49,8,2,2,3,275,2,1,1
1,240,2,18,1,3,1,4,1,3,1,1,4,3,1,1,2,3,4,1,3,4,37,8,2,2,3,88,1,2,0
1,395,3,32,1,3,1,3,1,2,1,4,1,5,5,5,5,5,1,4,4,1,48,8,2,3,2,275,2,2,0
1,370,2,26,1,3,1,4,1,1,1,3,2,5,5,5,5,4,2,4,5,1,50,10,2,2,2,225,1,2,0
1,265,3,22,1,4,1,4,1,3,2,1,4,1,1,2,1,1,5,1,2,3,33,8,2,3,3,125,2,2,0
1,260,3,21,1,3,1,4,1,5,2,4,4,1,1,2,1,1,5,1,2,4,33,8,2,4,3,125,1,2,0
1,410,5,55,1,4,1,3,1,3,1,4,1,5,4,5,4,5,1,4,5,2,50,8,2,3,2,175,2,1,1
1,245,2,19,1,3,1,4,1,5,2,4,5,2,2,2,1,2,4,2,2,4,35,8,2,2,3,125,2,2,0
1,285,3,24,1,3,1,4,1,3,1,4,5,1,1,2,2,1,4,1,2,4,33,8,2,2,3,125,1,2,0
1,450,4,35,1,4,1,4,1,5,1,4,1,5,4,5,4,4,1,4,5,3,43,10,2,2,2,275,2,1,0
1,315,3,27,1,3,1,4,1,5,2,3,4,2,2,1,2,2,4,1,3,5,40,8,2,3,3,88,2,2,0
1,310,4,27,1,4,1,3,1,5,2,0,4,3,1,2,1,2,5,1,2,5,40,8,2,2,3,125,1,1,0
1,310,3,25,1,3,1,3,1,5,2,3,5,2,2,2,2,2,4,1,2,4,41,8,2,2,3,125,2,2,0
1,440,4,34,1,2,1,3,1,1,1,4,1,5,5,5,4,4,1,4,4,2,56,8,2,3,2,275,1,1,0
1,275,3,20,1,3,1,3,1,5,1,1,5,2,2,1,2,2,4,1,3,5,45,10,2,2,3,125,1,2,0
1,430,5,47,1,2,1,4,1,2,1,4,2,4,5,5,4,5,1,4,4,3,50,10,1,1,2,175,1,1,1
1,235,3,27,1,3,1,4,1,5,2,0,5,2,2,1,1,1,4,1,1,4,36,10,2,4,3,125,2,2,0
1,240,3,23,1,3,1,3,1,5,2,0,4,3,2,2,2,1,5,2,1,4,34,8,2,2,3,125,1,2,0
1,280,3,22,1,3,1,4,1,3,2,2,4,2,1,2,3,2,4,1,2,4,36,8,2,2,3,88,1,2,0
1,295,2,29,1,4,1,4,1,3,2,3,4,3,1,1,1,1,5,1,2,5,36,13,2,3,3,125,1,2,0
1,300,3,28,1,2,1,4,1,1,2,1,5,3,1,1,1,1,4,2,2,5,41,8,2,2,3,125,1,2,0
1,380,3,31,1,2,1,3,1,1,1,4,1,4,5,5,4,5,1,4,5,1,54,8,2,4,2,275,1,2,0
1,400,4,32,1,3,1,3,1,1,1,2,1,5,4,4,4,5,2,5,5,2,53,8,2,5,2,275,2,1,0
1,400,4,34,1,2,1,3,1,2,2,4,1,5,4,4,4,5,1,4,4,2,49,8,2,2,2,275,1,1,0
1,510,5,48,1,2,1,3,1,2,1,2,2,4,4,4,5,5,2,4,5,3,49,10,2,3,2,225,2,1,1
1,300,3,26,1,2,1,4,1,3,2,0,5,1,1,1,1,2,5,1,1,4,41,10,2,6,3,88,1,2,0
1,164,1,,1,1,2,,1,4,2,0,3,2,2,1,3,1,5,1,1,3,30,0,2,4,4,63,2,2,0
1,375,5,33,1,1,1,3,1,1,1,2,2,4,5,4,5,5,2,5,5,3,53,8,1,1,2,225,1,1,1
1,161,1,,1,1,2,,1,4,2,1,3,2,1,1,1,1,5,1,3,1,66,2,2,4,1,25,2,2,0
1,510,5,45,1,2,1,4,1,1,2,3,1,5,5,5,4,5,2,5,5,3,49,8,2,2,2,275,1,1,1
1,285,3,25,1,3,1,4,1,5,2,0,4,1,1,1,1,3,4,1,1,5,47,8,2,2,3,125,1,2,0
1,163,1,,1,1,2,,1,2,2,0,4,2,2,2,2,1,5,1,1,5,33,5,3,2,4,63,1,2,0
1,360,5,43,1,2,1,3,2,,1,2,2,5,5,4,5,5,2,5,4,4,55,6,1,1,3,225,2,1,1
1,395,5,40,1,4,1,3,1,1,1,4,1,4,4,4,4,5,2,5,5,1,51,8,2,3,2,175,2,1,1
1,300,3,28,1,3,1,4,2,,2,1,5,3,1,1,1,1,4,2,2,5,41,8,2,5,3,125,1,2,0
1,245,3,26,1,3,1,4,1,3,2,2,4,2,1,1,2,1,4,2,2,5,36,8,3,4,3,88,2,2,0
1,450,4,37,1,2,1,3,1,2,1,4,2,4,5,4,5,5,2,5,4,4,54,10,2,2,2,275,1,1,0
1,270,3,26,1,3,1,4,2,,1,4,3,3,2,2,2,1,4,2,1,5,36,8,2,4,2,88,2,2,0
1,255,2,19,1,3,1,4,1,3,2,4,5,1,1,2,2,2,4,2,2,4,36,8,2,2,3,88,1,2,0
1,250,2,24,1,3,1,4,1,5,2,2,5,3,1,1,2,2,4,1,1,4,44,8,1,1,3,88,2,2,0
1,230,3,27,1,3,1,3,1,5,1,4,3,3,2,2,2,2,5,1,2,4,44,10,3,4,3,88,1,2,0
1,380,5,37,1,2,1,3,1,2,2,3,2,4,5,5,5,5,1,4,4,2,52,8,1,1,2,225,2,1,1
1,255,3,22,1,4,1,4,1,3,1,2,4,2,2,2,2,2,5,1,2,5,32,10,2,4,3,88,2,2,0
1,285,3,24,1,3,1,4,1,5,2,2,5,1,2,2,2,2,4,1,2,5,39,6,1,1,3,125,2,2,0
1,275,2,22,1,4,1,4,1,1,2,4,5,3,2,1,2,2,4,2,1,4,44,10,3,2,3,125,2,2,0
1,410,4,32,1,4,1,4,1,2,1,1,1,5,4,5,4,4,1,4,5,3,46,8,2,3,2,175,2,1,0
1,270,3,22,1,3,1,4,1,3,2,2,5,2,2,1,2,2,5,2,2,3,41,6,1,1,3,88,1,2,0
1,245,3,19,1,3,1,4,1,5,2,4,5,2,2,2,1,2,4,2,2,4,35,8,2,5,3,125,2,2,0
1,445,5,39,1,4,1,3,1,1,2,3,2,4,5,4,5,4,2,5,4,3,53,8,2,4,2,175,1,1,1
1,285,3,24,1,3,1,3,1,5,2,4,5,2,2,2,2,1,5,2,1,5,33,10,2,4,3,125,2,2,0
1,330,2,31,1,1,1,3,1,2,1,4,2,4,5,4,5,4,1,5,5,2,49,8,2,3,2,275,2,2,0
1,160,1,,2,,2,,1,4,2,1,5,2,1,1,3,1,5,1,1,5,32,0,2,2,4,25,1,2,0
1,310,3,25,1,3,1,3,1,5,2,4,5,2,2,2,2,2,4,1,2,4,41,8,2,2,3,125,2,2,0
1,170,3,,1,1,2,,1,4,2,1,4,1,1,1,3,1,5,1,1,3,31,4,3,1,4,25,1,2,0
1,425,2,35,1,2,1,3,1,1,1,3,1,5,5,5,5,5,2,5,4,3,50,10,1,1,2,275,2,2,0
1,460,5,42,1,2,1,3,1,2,2,1,2,5,4,5,5,4,1,4,5,3,56,8,2,3,3,175,2,1,1
1,265,3,21,1,3,1,3,1,3,2,4,4,2,2,1,1,1,4,1,1,5,43,8,3,3,3,125,2,2,0
1,160,1,,1,1,1,1,1,1,2,1,3,2,1,1,1,1,5,1,1,1,71,4,2,5,1,25,2,2,0
1,290,3,26,1,3,1,4,1,3,2,3,4,3,2,2,1,1,4,2,2,4,42,8,2,4,2,125,2,2,0
1,275,3,22,1,3,1,3,1,5,2,3,4,2,2,2,1,1,4,1,2,5,43,8,2,6,3,125,2,2,0
1,430,5,35,1,4,1,3,1,1,1,4,2,4,5,4,4,5,2,4,4,3,50,10,2,4,2,175,2,1,1
1,255,3,24,2,,1,4,1,5,2,2,5,1,3,2,1,1,5,2,1,4,43,10,2,2,3,125,1,2,0
1,435,5,40,1,2,1,1,1,2,2,4,2,4,5,5,5,4,1,4,4,3,49,8,2,3,2,225,1,1,1
1,395,4,32,1,2,1,3,1,1,1,4,1,5,4,5,5,4,1,4,4,3,50,10,1,1,2,225,1,1,0
1,161,1,,1,1,1,3,1,4,2,2,3,3,1,1,3,1,5,1,1,5,26,4,2,4,4,63,1,2,0
1,320,3,28,1,2,1,4,1,3,2,3,5,2,3,3,2,1,3,3,3,4,36,13,1,1,3,175,1,2,0
1,375,4,34,1,2,1,3,1,2,1,4,1,4,4,4,5,5,2,4,4,3,51,8,2,2,2,275,1,1,0
1,465,5,47,1,2,1,4,1,1,1,4,1,5,5,4,5,4,2,5,5,3,52,10,2,2,2,275,1,1,1
1,275,3,22,1,4,1,4,1,3,2,2,5,3,2,1,2,2,4,2,1,4,44,10,1,1,2,125,2,2,0
1,270,3,21,1,3,1,4,1,5,2,1,3,3,2,2,3,2,4,1,1,5,41,8,1,1,2,88,2,2,0
1,425,5,38,1,2,1,4,1,1,1,3,2,5,5,5,4,4,2,4,5,2,55,8,2,2,2,275,1,1,1
1,165,1,,1,1,1,1,1,1,2,0,3,3,1,1,3,1,5,1,1,5,32,6,2,3,4,63,1,2,0
1,550,5,70,1,4,1,3,1,1,1,4,1,5,5,5,4,4,1,4,5,1,48,8,2,3,2,275,1,1,1
1,230,3,17,1,3,1,1,1,3,1,0,5,2,2,1,3,3,5,3,1,5,43,8,1,1,3,125,1,2,0
1,168,1,,1,1,2,,1,4,2,2,4,3,1,1,3,1,5,1,1,5,29,5,3,3,4,63,1,2,0
1,305,3,27,1,2,1,4,1,5,2,0,4,2,2,3,1,1,5,1,2,5,39,6,2,3,3,88,2,2,0
